EXTKEY,polarizability_form1,polarizability_form2,permettivity_form1,permettivity_form2,permettivity_form3,permettivity_form4,permettivity_polarizability,alpha_kamlet-taft,beta_Kamlet-Taft,pi*_Kamlet-taft,SPP_Katalan,SB_Katalan,SA_Katalan
"n,n-dimethylformamide",0.25727573,0.2046295,0.92250067,0.9727595,0.47984412,0.94696367,0.09819027,0,0.69,0.88,0.95,0.61,0.03
nitrobenzene,0.31856897,0.24160206,0.9184339,0.97124785,0.4787415,0.9441028,0.11566493,0,0.3,0.86,0.97,0.24,0.06
nitromethane,0.23109274,0.18771352,0.9207816,0.97212154,0.4793786,0.94575536,0.08998584,0.22,0.06,0.75,0.91,0.24,0.08
octan-1-ol,0.25706562,0.20449659,0.75688815,0.9032882,0.43081182,0.82363313,0.08809955,0.77,0.81,0.4,0.79,0.92,0.3
oxolan-2-one,0.26041993,0.20661363,0.9268293,0.974359,0.48101267,0.95,0.09938378,0,0.49,0.85,0.99,0.4,0.06
oxolane,0.24509785,0.19685027,0.68684757,0.8680739,0.40717822,0.76689976,0.08015314,0,0.55,0.55,0.84,0.59,0
pentan-1-ol,0.2466975179,0.1978808126,0.8113207502,0.928057552,0.4479166653,0.8657718086,0.0886341137,0.84,0.86,0.4,0.82,0.86,0.32
phenylmethanol,0.3129784,0.23837282,0.79591835,0.9212598,0.4431818,0.8540146,0.105642505,0.6,0.52,0.98,0.89,0.46,0.41
propan-1-ol,0.2336432115,0.1893928563,0.866369715,0.9511002463,0.4642004786,0.9067599101,0.0879162545,0.84,0.9,0.52,0.85,0.78,0.37
propan-2-ol,0.2290246779,0.1863466878,0.8631386866,0.949799197,0.4632713028,0.9043977059,0.0863290728,0.76,0.84,0.48,0.85,0.83,0.28
propan-2-one,0.21849272,0.17931393,0.86702126,0.9513619,0.46438748,0.9072356,0.083271146,0.08,0.48,0.62,0.88,0.48,0
propanenitrile,0.2223484804,0.181902693,0.9008592208,0.9646142961,0.4739221143,0.9316473006,0.0862077089,0,0.37,0.64,0.88,0.37,0.03
pyridine,0.29759645,0.22934438,0.7987928,0.92254066,0.4440716,0.8562185,0.10184532,0,0.64,0.87,0.92,0.58,0.03
tetrachloromethane,0.272347844,0.2140514053,0.2924528318,0.5535714305,0.2262773732,0.3827160512,0.0484349897,0,0.1,0.21,0.63,0.04,0
"tetrahydrothiophene 1,1-dioxide",0.2845833895,0.2215374976,0.9337163033,0.9768839566,0.4828610597,0.95481247,0.1069718308,0,0.39,0.9,1,0.37,0.05
toluene,0.29117137,0.22550948,0.3150685,0.57983196,0.23958334,0.40828404,0.054028314,0,0.11,0.49,0.66,0.13,0
trichloromethane,0.26459128,0.20923066,0.56458634,0.795501,0.36085343,0.6604414,0.0755016,0.2,0.1,0.58,0.79,0.07,0.05
water,0.2054150854,0.1704102495,0.9626679943,0.987238387,0.4904894751,0.9747983873,0.0835844338,1.17,0.47,1.09,0.96,0.03,1.06
"1,3,5‐trimethylbenzene",0.2936191915,0.2269749811,0.3181818182,0.5833333333,0.2413793103,0.4117647059,0.0547870644,0,0.13,0.41,0.58,0.19,0
"n,n-dimethylacetamide",0.26,0.21,0.92,0.97,0.48,0.95,0.1,0,0.76,0.88,0.97,0.61,0.03
